first_column,link_type,link_type_name,name_description,type_code,traffic_flow_model,allowed_uses_p1,allowed_uses_p2,allowed_uses_p3,peak_load_factor_p1_auto,peak_load_factor_p1_bike,peak_load_factor_p1_walk,free_speed_auto,free_speed_bike,free_speed_walk,capacity_auto,capacity_bike,capacity_walk,lanes_bike,lanes_walk,k_jam_km,meu_auto_bike,meu_auto_walk,meu_bike_walk,meu_bike_auto,meu_walk_bike,meu_walk_auto,emissions_auto_co2,emissions_auto_nox,emissions_bike_co2,emissions_bike_nox,emissions_walk_co2,emissions_walk_nox,emissions_ev_co2,emissions_ev_nox,emissions_truck_co2,emissions_truck_nox,emissions_bus_co2,emissions_bus_nox,emissions_hov_co2,emissions_hov_nox
0,1,motorway,motorway,f,kw,auto;info,,,1,1,1,120,25,5,2000,300,200,0,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3412,5.53516;0.0003;0.0043;0.0959,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3412,2;0.0003;0.0043;0.0959,23816.14583;0.0002;0.0042;0.3412,6.342370833;0.0003;0.0043;0.0959,25115.20833;0.0002;0.0042;0.3412,6.688318333;0.0003;0.0043;0.0959,10392.99771;0.0002;0.0042;0.3412,2;0.0003;0.0043;0.0959
0,2,trunk,trunk,a,spatial_queue,auto;info,,,1,1,1,100,25,5,1800,300,200,0,0,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3413,5.53516;0.0003;0.0043;0.0960,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3412,2;0.0003;0.0043;0.0960,23816.14583;0.0002;0.0042;0.3413,6.342370833;0.0003;0.0043;0.0960,25115.20833;0.0002;0.0042;0.3413,6.688318333;0.0003;0.0043;0.0960,10392.99771;0.0002;0.0042;0.3413,2;0.0003;0.0043;0.0960
0,3,primary,primary,a,spatial_queue,,,,1,1,1,80,25,5,1500,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3414,5.53516;0.0003;0.0043;0.0961,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3413,2;0.0003;0.0043;0.0961,23816.14583;0.0002;0.0042;0.3414,6.342370833;0.0003;0.0043;0.0961,25115.20833;0.0002;0.0042;0.3414,6.688318333;0.0003;0.0043;0.0961,10392.99771;0.0002;0.0042;0.3414,2;0.0003;0.0043;0.0961
0,4,residential,residential,a,point_queue,,,,1,1,1,30,25,5,1000,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3415,5.53516;0.0003;0.0043;0.0962,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3414,2;0.0003;0.0043;0.0962,23816.14583;0.0002;0.0042;0.3415,6.342370833;0.0003;0.0043;0.0962,25115.20833;0.0002;0.0042;0.3415,6.688318333;0.0003;0.0043;0.0962,10392.99771;0.0002;0.0042;0.3415,2;0.0003;0.0043;0.0962
0,5,secondary,secondary,a,point_queue,,,,1,1,1,60,25,5,1400,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3416,5.53516;0.0003;0.0043;0.0963,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3415,2;0.0003;0.0043;0.0963,23816.14583;0.0002;0.0042;0.3416,6.342370833;0.0003;0.0043;0.0963,25115.20833;0.0002;0.0042;0.3416,6.688318333;0.0003;0.0043;0.0963,10392.99771;0.0002;0.0042;0.3416,2;0.0003;0.0043;0.0963
0,6,tertiary,tertiary,a,point_queue,,,,1,1,1,50,25,5,1300,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3417,5.53516;0.0003;0.0043;0.0964,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3416,2;0.0003;0.0043;0.0964,23816.14583;0.0002;0.0042;0.3417,6.342370833;0.0003;0.0043;0.0964,25115.20833;0.0002;0.0042;0.3417,6.688318333;0.0003;0.0043;0.0964,10392.99771;0.0002;0.0042;0.3417,2;0.0003;0.0043;0.0964
0,7,unclassified,unclassified,a,point_queue,,,,1,1,1,40,25,5,1200,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3418,5.53516;0.0003;0.0043;0.0965,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3417,2;0.0003;0.0043;0.0965,23816.14583;0.0002;0.0042;0.3418,6.342370833;0.0003;0.0043;0.0965,25115.20833;0.0002;0.0042;0.3418,6.688318333;0.0003;0.0043;0.0965,10392.99771;0.0002;0.0042;0.3418,2;0.0003;0.0043;0.0965
0,9,collector,collector,a,point_queue,,,,1,1,1,50,25,5,1200,300,200,1,1,300,0,0,0,0,0,0,20785.99541;0.0002;0.0042;0.3419,5.53516;0.0003;0.0043;0.0966,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3418,2;0.0003;0.0043;0.0966,23816.14583;0.0002;0.0042;0.3419,6.342370833;0.0003;0.0043;0.0966,25115.20833;0.0002;0.0042;0.3419,6.688318333;0.0003;0.0043;0.0966,10392.99771;0.0002;0.0042;0.3419,2;0.0003;0.0043;0.0966
0,10,connector,connector,c,point_queue,,,,1,1,1,60,25,5,15000,300,200,1,1,300,0,0,0,0,0,0,,,,,,,,,,,,,,
0,100,shared_use,,a,point_queue,,,,1,1,1,20,25,5,200,300,200,1,1,300,0.5,0,0,2,0,0,20785.99541;0.0002;0.0042;0.3419,5.53516;0.0003;0.0043;0.0966,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,10392.99771;0.0002;0.0042;0.3418,2;0.0003;0.0043;0.0966,23816.14583;0.0002;0.0042;0.3419,6.342370833;0.0003;0.0043;0.0966,25115.20833;0.0002;0.0042;0.3419,6.688318333;0.0003;0.0043;0.0966,10392.99771;0.0002;0.0042;0.3419,2;0.0003;0.0043;0.0966
0,200,bikeonly,Bike only,a,point_queue,bike,bike,bike,1,1,1,5,25,5,200,300,200,1,1,300,0,0,0,0,0,0,,,,,,,,,,,,,,
0,300,walkonly,walk only,a,point_queue,walk,walk,walk,1,1,1,25,25,5,300,300,200,1,1,300,0,0,0,0,0,0,,,,,,,,,,,,,,
