name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length_in_miles,length,lanes,capacity,free_speed,link_type,cost,BPR_fftt1,BPR_plf1,BPR_alpha1,BPR_beta1
Connector,1,1285,5018,,1,0.2384,383.5856,7,10000,21,2,0,0.681142857,1,0.15,4
Connector,2,1286,11125,,1,0.466,749.794,7,10000,21,2,0,1.331428571,1,0.15,4
Connector,3,1289,4952,,1,0.2427,390.5043,7,10000,21,2,0,0.693428571,1,0.15,4
Connector,4,1289,5018,,1,0.2621,421.7189,7,10000,21,2,0,0.748857143,1,0.15,4
Connector,5,1289,11124,,1,0.5069,815.6021,7,10000,21,2,0,1.448285714,1,0.15,4
Connector,6,1289,11125,,1,0.5047,812.0623,7,10000,21,2,0,1.442,1,0.15,4
Connector,7,1290,4952,,1,0.2516,404.8244,7,10000,21,2,0,0.718857143,1,0.15,4
Connector,8,1296,5240,,1,0.2056,330.8104,7,10000,21,2,0,0.587428571,1,0.15,4
Connector,9,1299,4958,,1,0.1988,319.8692,7,10000,21,2,0,0.568,1,0.15,4
Connector,10,1299,11129,,1,0.3637,585.1933,7,10000,21,2,0,1.039142857,1,0.15,4
Connector,11,1314,11146,,1,0.2758,443.7622,7,10000,21,2,0,0.788,1,0.15,4
Connector,12,1316,11148,,1,0.2608,419.6272,7,10000,21,2,0,0.745142857,1,0.15,4
Connector,13,1318,11160,,1,0.2384,383.5856,7,10000,21,2,0,0.681142857,1,0.15,4
Connector,14,1319,11124,,1,0.2054,330.4886,7,10000,21,2,0,0.586857143,1,0.15,4
Connector,15,1320,5820,,1,0.3445,554.3005,7,10000,21,2,0,0.984285714,1,0.15,4
Connector,16,1320,11148,,1,0.2527,406.5943,7,10000,21,2,0,0.722,1,0.15,4
Connector,17,1322,5589,,1,0.2229,358.6461,7,10000,21,2,0,0.636857143,1,0.15,4
Connector,18,1322,11161,,1,0.267,429.603,7,10000,21,2,0,0.762857143,1,0.15,4
Connector,19,1323,5592,,1,0.2697,433.9473,7,10000,21,2,0,0.770571429,1,0.15,4
Connector,20,1325,10853,,1,0.1583,254.7047,7,10000,20,2,0,0.4749,1,0.15,4
Connector,21,1346,11172,,1,0.2518,405.1462,7,10000,21,2,0,0.719428571,1,0.15,4
Connector,22,1348,5210,,1,0.2525,406.2725,7,10000,21,2,0,0.721428571,1,0.15,4
Connector,23,1349,5210,,1,0.2309,371.5181,7,10000,21,2,0,0.659714286,1,0.15,4
Connector,24,1349,5219,,1,0.2726,438.6134,7,10000,21,2,0,0.778857143,1,0.15,4
Connector,25,1349,11181,,1,0.3091,497.3419,7,10000,21,2,0,0.883142857,1,0.15,4
Connector,26,1351,5209,,1,0.2524,406.1116,7,10000,21,2,0,0.721142857,1,0.15,4
Connector,27,1352,5209,,1,0.2516,404.8244,7,10000,21,2,0,0.718857143,1,0.15,4
Connector,28,1352,6256,,1,0.254,408.686,7,10000,21,2,0,0.725714286,1,0.15,4
Connector,29,1352,11181,,1,0.3966,638.1294,7,10000,21,2,0,1.133142857,1,0.15,4
Connector,30,1352,11261,,1,0.3863,621.5567,7,10000,21,2,0,1.103714286,1,0.15,4
Connector,31,1353,5589,,1,0.2564,412.5476,7,10000,21,2,0,0.732571429,1,0.15,4
Connector,32,1353,11172,,1,0.2395,385.3555,7,10000,21,2,0,0.684285714,1,0.15,4
Connector,33,1353,11173,,1,0.2648,426.0632,7,10000,21,2,0,0.756571429,1,0.15,4
Connector,34,1354,5592,,1,0.2627,422.6843,7,10000,20,2,0,0.7881,1,0.15,4
Connector,35,1354,11173,,1,0.3067,493.4803,7,10000,20,2,0,0.9201,1,0.15,4
Connector,36,1355,5219,,1,0.2329,374.7361,7,10000,21,2,0,0.665428571,1,0.15,4
Connector,37,1355,11183,,1,0.2952,474.9768,7,10000,21,2,0,0.843428571,1,0.15,4
Connector,38,1356,6255,,1,0.2527,406.5943,7,10000,21,2,0,0.722,1,0.15,4
Connector,39,1356,6256,,1,0.271,436.039,7,10000,21,2,0,0.774285714,1,0.15,4
Connector,40,1356,11183,,1,0.3674,591.1466,7,10000,21,2,0,1.049714286,1,0.15,4
Connector,41,1356,11259,,1,0.3823,615.1207,7,10000,21,2,0,1.092285714,1,0.15,4
Connector,42,1357,5174,,1,0.4171,671.1139,7,10000,21,2,0,1.191714286,1,0.15,4
Connector,43,1357,5588,,1,0.4955,797.2595,7,10000,21,2,0,1.415714286,1,0.15,4
Connector,44,1357,6255,,1,0.2849,458.4041,7,10000,21,2,0,0.814,1,0.15,4
Connector,45,1359,6185,,1,0.3586,576.9874,7,10000,21,2,0,1.024571429,1,0.15,4
Connector,46,1360,10850,,1,0.1651,265.6459,7,10000,20,2,0,0.4953,1,0.15,4
Connector,47,1360,11489,,1,0.2373,381.8157,7,10000,20,2,0,0.7119,1,0.15,4
Connector,48,1361,5728,,1,0.1705,274.3345,7,10000,20,2,0,0.5115,1,0.15,4
Connector,49,1397,11261,,1,0.6112,983.4208,7,10000,21,2,0,1.746285714,1,0.15,4
Connector,50,1404,11257,,1,0.1389,223.4901,7,10000,20,2,0,0.4167,1,0.15,4
300 West,51,3689,11507,,1,0.094,151.246,2,601,25,1,0,0.2256,1,0.15,4
500 West,52,4156,10849,,1,0.0946,152.2114,1,633,24,1,0,0.2365,1,0.15,4
500 West,53,4156,10850,,1,0.17,273.53,1,633,24,1,0,0.425,1,0.15,4
700 West,54,4804,5106,,1,0.2604,418.9836,1,666,29,1,0,0.538758621,1,0.15,4
700 West,55,4804,5109,,1,0.2489,400.4801,1,666,29,1,0,0.514965517,1,0.15,4
700 West,56,4899,5030,,1,0.2603,418.8227,2,633,30,1,0,0.5206,1,0.15,4
Connector,57,4952,1289,,1,0.2427,390.5043,7,10000,21,2,0,0.693428571,1,0.15,4
Connector,58,4952,1290,,1,0.2516,404.8244,7,10000,21,2,0,0.718857143,1,0.15,4
1300 West,59,4952,5022,,1,0.5007,805.6263,1,666,32,1,0,0.9388125,1,0.15,4
1300 West,60,4952,5440,,1,0.39199,630.71191,1,666,32,1,0,0.73498125,1,0.15,4
Connector,61,4958,1299,,1,0.1988,319.8692,7,10000,21,2,0,0.568,1,0.15,4
700 West,62,4958,5010,,1,0.14152,227.70568,2,814,36,1,0,0.235866667,1,0.15,4
700 West,63,4958,5030,,1,0.15809,254.36681,2,814,36,1,0,0.263483333,1,0.15,4
Center St,64,5009,5027,,1,0.1508,242.6372,2,814,36,1,0,0.251333333,1,0.15,4
Holden St,65,5009,5240,,1,0.2969,477.7121,2,814,36,1,0,0.494833333,1,0.15,4
7800 South,66,5009,5863,,1,0.1904,306.3536,2,814,36,1,0,0.317333333,1,0.15,4
700 West,67,5010,4958,,1,0.14152,227.70568,2,814,36,1,0,0.235866667,1,0.15,4
700 West,68,5010,5027,,1,0.31237,502.60333,1,857,35,1,0,0.535491429,1,0.15,4
Holden St,69,5010,5240,,1,0.13471,216.74839,2,814,36,1,0,0.224516667,1,0.15,4
Redwood Rd,70,5017,5018,,1,0.498,801.282,3,854,43,1,0,0.694883721,1,0.15,4
7800 South,71,5017,11123,,1,0.2622,421.8798,2,814,36,1,0,0.437,1,0.15,4
7800 South,72,5017,11124,,1,0.3644,586.3196,2,814,36,1,0,0.607333333,1,0.15,4
Redwood Rd,73,5017,11146,,1,0.2497,401.7673,3,854,43,1,0,0.348418605,1,0.15,4
Connector,74,5018,1285,,1,0.2384,383.5856,7,10000,21,2,0,0.681142857,1,0.15,4
Connector,75,5018,1289,,1,0.2621,421.7189,7,10000,21,2,0,0.748857143,1,0.15,4
Redwood Rd,76,5018,5017,,1,0.498,801.282,3,854,43,1,0,0.694883721,1,0.15,4
Redwood Rd,77,5018,5436,,1,0.5069,815.6021,3,854,43,1,0,0.707302326,1,0.15,4
1300 West,78,5022,4952,,1,0.5007,805.6263,1,666,32,1,0,0.9388125,1,0.15,4
7800 South,79,5022,5524,,1,0.1988,319.8692,2,814,36,1,0,0.331333333,1,0.15,4
7800 South,80,5022,11124,,1,0.1398,224.9382,2,814,36,1,0,0.233,1,0.15,4
1300 West,81,5022,11147,,1,0.119,191.471,1,666,32,1,0,0.223125,1,0.15,4
Center St,82,5027,5009,,1,0.1508,242.6372,2,814,36,1,0,0.251333333,1,0.15,4
700 West,83,5027,5010,,1,0.31237,502.60333,1,857,35,1,0,0.535491429,1,0.15,4
Center St,84,5027,11129,,1,0.1417,227.9953,2,814,36,1,0,0.236166667,1,0.15,4
700 West,85,5027,11150,,1,0.2378,382.6202,1,666,29,1,0,0.492,1,0.15,4
700 West,86,5030,4899,,1,0.2603,418.8227,2,633,30,1,0,0.5206,1,0.15,4
700 West,87,5030,4958,,1,0.15809,254.36681,2,814,36,1,0,0.263483333,1,0.15,4
7000 South,88,5030,10872,,1,0.18159,292.17831,2,814,36,1,0,0.30265,1,0.15,4
7200 South,89,5030,11128,,1,0.13451,216.42659,2,814,29,1,0,0.278296552,1,0.15,4
Center St,90,5034,11129,,1,0.27834,447.84906,2,814,36,1,0,0.4639,1,0.15,4
7200 South,91,5037,11128,,1,0.33214,534.41326,2,814,29,1,0,0.687186207,1,0.15,4
1300 West,92,5103,5820,,1,0.5746,924.5314,1,666,32,1,0,1.077375,1,0.15,4
1300 West,93,5103,11161,,1,0.2721,437.8089,1,666,32,1,0,0.5101875,1,0.15,4
700 West,94,5106,4804,,1,0.2604,418.9836,1,666,29,1,0,0.538758621,1,0.15,4
700 West,95,5106,5117,,1,0.7477,1203.0493,1,633,24,1,0,1.86925,1,0.15,4
500 West,96,5106,10852,,1,0.0551,88.6559,1,633,24,1,0,0.13775,1,0.15,4
700 West,97,5109,4804,,1,0.2489,400.4801,1,666,29,1,0,0.514965517,1,0.15,4
700 West,98,5109,11150,,1,0.0875,140.7875,1,666,29,1,0,0.181034483,1,0.15,4
8000 South,99,5109,11151,,1,0.1948,313.4332,1,514,26,1,0,0.449538462,1,0.15,4
9000 South,100,5112,5589,,1,0.2454,394.8486,2,892,39,1,0,0.377538462,1,0.15,4
9000 South,101,5112,11159,,1,0.2563,412.3867,2,892,39,1,0,0.394307692,1,0.15,4
Redwood Rd,102,5112,11160,,1,0.2128,342.3952,3,854,43,1,0,0.296930233,1,0.15,4
Redwood Rd,103,5112,11172,,1,0.2477,398.5493,2,892,39,1,0,0.381076923,1,0.15,4
8660 S,104,5113,8002,,1,0.242,389.378,1,514,26,1,0,0.558461538,1,0.15,4
Redwood Rd,105,5113,11148,,1,0.3466,557.6794,3,854,43,1,0,0.483627907,1,0.15,4
Redwood Rd,106,5113,11160,,1,0.2187,351.8883,3,854,43,1,0,0.305162791,1,0.15,4
9000 South,107,5114,5589,,1,0.256,411.904,2,892,39,1,0,0.393846154,1,0.15,4
9000 South,108,5114,5592,,1,0.3692,594.0428,2,847,32,1,0,0.69225,1,0.15,4
1300 West,109,5114,11161,,1,0.2244,361.0596,1,666,32,1,0,0.42075,1,0.15,4
1300 West,110,5114,11173,,1,0.2362,380.0458,1,666,29,1,0,0.488689655,1,0.15,4
700 West,111,5117,5106,,1,0.7477,1203.0493,1,633,24,1,0,1.86925,1,0.15,4
9000 South,112,5117,11255,,1,0.1231,198.0679,2,847,32,1,0,0.2308125,1,0.15,4
9000 South,113,5118,5727,,1,0.1119,180.0471,2,847,32,1,0,0.2098125,1,0.15,4
500 West,114,5118,10854,,1,0.0913,146.9017,1,633,24,1,0,0.22825,1,0.15,4
9000 South,115,5118,11255,,1,0.1912,307.6408,2,847,32,1,0,0.3585,1,0.15,4
500 West,116,5118,11910,,1,0.1358,218.5022,1,633,24,1,0,0.3395,1,0.15,4
9000 South,117,5119,5727,,1,0.058,93.322,2,847,32,1,0,0.10875,1,0.15,4
Connector,118,5174,1357,,1,0.4171,671.1139,7,10000,21,2,0,1.191714286,1,0.15,4
South Jordan,119,5174,5587,,1,0.2961,476.4249,2,814,36,1,0,0.4935,1,0.15,4
South Jordan,120,5174,5868,,1,0.1943,312.6287,2,814,36,1,0,0.323833333,1,0.15,4
9800 South,121,5175,5729,,1,0.1853,298.1477,1,633,24,1,0,0.46325,1,0.15,4
9800 South,122,5175,11257,,1,0.2117,340.6253,1,633,24,1,0,0.52925,1,0.15,4
Redwood Rd,123,5208,5209,,1,0.3999,643.4391,2,892,39,1,0,0.615230769,1,0.15,4
Redwood Rd,124,5208,5238,,1,0.6407,1030.8863,1,929,38,1,0,1.011631579,1,0.15,4
South Jordan,125,5208,11261,,1,0.2147,345.4523,2,814,36,1,0,0.357833333,1,0.15,4
10400 South,126,5208,11282,,1,0.2666,428.9594,1,857,35,1,0,0.457028571,1,0.15,4
Connector,127,5209,1351,,1,0.2524,406.1116,7,10000,21,2,0,0.721142857,1,0.15,4
Connector,128,5209,1352,,1,0.2516,404.8244,7,10000,21,2,0,0.718857143,1,0.15,4
Redwood Rd,129,5209,5208,,1,0.3999,643.4391,2,892,39,1,0,0.615230769,1,0.15,4
Redwood Rd,130,5209,5211,,1,0.3468,558.0012,2,892,39,1,0,0.533538462,1,0.15,4
Connector,131,5210,1348,,1,0.2525,406.2725,7,10000,21,2,0,0.721428571,1,0.15,4
Connector,132,5210,1349,,1,0.2309,371.5181,7,10000,21,2,0,0.659714286,1,0.15,4
Redwood Rd,133,5210,5211,,1,0.2656,427.3504,2,892,39,1,0,0.408615385,1,0.15,4
Redwood Rd,134,5210,11172,,1,0.4974,800.3166,2,892,39,1,0,0.765230769,1,0.15,4
Redwood Rd,135,5211,5209,,1,0.3468,558.0012,2,892,39,1,0,0.533538462,1,0.15,4
Redwood Rd,136,5211,5210,,1,0.2656,427.3504,2,892,39,1,0,0.408615385,1,0.15,4
9800 South,137,5211,11180,,1,0.3029,487.3661,1,666,29,1,0,0.626689655,1,0.15,4
9800 South,138,5211,11181,,1,0.4027,647.9443,1,666,29,1,0,0.833172414,1,0.15,4
1300 West,139,5214,6256,,1,0.4031,648.5879,1,666,29,1,0,0.834,1,0.15,4
South Jordan,140,5214,11259,,1,0.1306,210.1354,2,814,36,1,0,0.217666667,1,0.15,4
South Jordan,141,5214,11261,,1,0.2844,457.5996,2,814,36,1,0,0.474,1,0.15,4
1300 West,142,5214,11281,,1,0.4441,714.5569,1,666,29,1,0,0.918827586,1,0.15,4
9800 South,143,5215,5588,,1,0.1435,230.8915,1,666,29,1,0,0.296896552,1,0.15,4
1000 West,144,5215,6255,,1,0.4541,730.6469,1,514,26,1,0,1.047923077,1,0.15,4
9800 South,145,5215,11183,,1,0.1961,315.5249,1,666,29,1,0,0.405724138,1,0.15,4
South Jordan,146,5216,5356,,1,0.1926,309.8934,2,773,27,1,0,0.428,1,0.15,4
South Jordan,147,5216,5868,,1,0.3901,627.6709,2,773,27,1,0,0.866888889,1,0.15,4
500 West,148,5216,10847,,1,0.1274,204.9866,2,633,30,1,0,0.2548,1,0.15,4
300 West,149,5216,11507,,1,0.2346,377.4714,2,601,25,1,0,0.56304,1,0.15,4
Connector,150,5219,1349,,1,0.2726,438.6134,7,10000,21,2,0,0.778857143,1,0.15,4
Connector,151,5219,1355,,1,0.2329,374.7361,7,10000,21,2,0,0.665428571,1,0.15,4
1300 West,152,5219,5232,,1,0.293,471.437,1,666,29,1,0,0.606206897,1,0.15,4
1300 West,153,5219,11173,,1,0.5262,846.6558,1,666,29,1,0,1.088689655,1,0.15,4
1300 West,154,5232,5219,,1,0.293,471.437,1,666,29,1,0,0.606206897,1,0.15,4
1300 West,155,5232,6256,,1,0.3069,493.8021,1,666,29,1,0,0.634965517,1,0.15,4
9800 South,156,5232,11182,,1,0.0505,81.2545,1,666,29,1,0,0.104482759,1,0.15,4
9800 South,157,5232,11183,,1,0.3048,490.4232,1,666,29,1,0,0.63062069,1,0.15,4
Redwood Rd,158,5238,5208,,1,0.6407,1030.8863,1,929,38,1,0,1.011631579,1,0.15,4
Connector,159,5240,1296,,1,0.2056,330.8104,7,10000,21,2,0,0.587428571,1,0.15,4
Holden St,160,5240,5009,,1,0.2969,477.7121,2,814,36,1,0,0.494833333,1,0.15,4
Holden St,161,5240,5010,,1,0.13471,216.74839,2,814,36,1,0,0.224516667,1,0.15,4
South Jordan,162,5356,5216,,1,0.1926,309.8934,2,773,27,1,0,0.428,1,0.15,4
Redwood Rd,163,5436,5018,,1,0.5069,815.6021,3,854,43,1,0,0.707302326,1,0.15,4
7000 South,164,5436,5577,,1,0.187,300.883,2,814,36,1,0,0.311666667,1,0.15,4
Redwood Rd,165,5436,5578,,1,0.4375,703.9375,3,854,39,1,0,0.673076923,1,0.15,4
7000 South,166,5436,11125,,1,0.2509,403.6981,2,814,36,1,0,0.418166667,1,0.15,4
1300 West,167,5440,4952,,1,0.39199,630.71191,1,666,32,1,0,0.73498125,1,0.15,4
7000 South,168,5440,11125,,1,0.27677,445.32293,2,814,36,1,0,0.461283333,1,0.15,4
7000 South,169,5440,11127,,1,0.25977,417.96993,2,814,36,1,0,0.43295,1,0.15,4
1300 West,170,5440,11827,,1,0.18981,305.40429,1,666,32,1,0,0.35589375,1,0.15,4
7000 South,171,5441,5861,,1,0.10732,172.67788,2,814,36,1,0,0.178866667,1,0.15,4
7000 South,172,5441,11126,,1,0.11932,191.98588,2,814,36,1,0,0.198866667,1,0.15,4
7800 South,173,5524,5022,,1,0.1988,319.8692,2,814,36,1,0,0.331333333,1,0.15,4
7800 South,174,5524,5863,,1,0.4697,755.7473,2,814,36,1,0,0.782833333,1,0.15,4
7000 South,175,5577,5436,,1,0.187,300.883,2,814,36,1,0,0.311666667,1,0.15,4
Redwood Rd,176,5578,5436,,1,0.4375,703.9375,3,854,39,1,0,0.673076923,1,0.15,4
South Jordan,177,5587,5174,,1,0.2961,476.4249,2,814,36,1,0,0.4935,1,0.15,4
1000 West,178,5587,10857,,1,0.1459,234.7531,1,514,26,1,0,0.336692308,1,0.15,4
South Jordan,179,5587,11259,,1,0.4105,660.4945,2,814,36,1,0,0.684166667,1,0.15,4
Connector,180,5588,1357,,1,0.4955,797.2595,7,10000,21,2,0,1.415714286,1,0.15,4
9800 South,181,5588,5215,,1,0.1435,230.8915,1,666,29,1,0,0.296896552,1,0.15,4
9800 South,182,5588,11184,,1,0.1725,277.5525,1,633,24,1,0,0.43125,1,0.15,4
Connector,183,5589,1322,,1,0.2229,358.6461,7,10000,21,2,0,0.636857143,1,0.15,4
Connector,184,5589,1353,,1,0.2564,412.5476,7,10000,21,2,0,0.732571429,1,0.15,4
9000 South,185,5589,5112,,1,0.2454,394.8486,2,892,39,1,0,0.377538462,1,0.15,4
9000 South,186,5589,5114,,1,0.256,411.904,2,892,39,1,0,0.393846154,1,0.15,4
Connector,187,5592,1323,,1,0.2697,433.9473,7,10000,21,2,0,0.770571429,1,0.15,4
